Number of simulations: 50
Number of games: 10
Number of rounds per game: 3
Conte Marlo Infoset,	Greedy Agent613,	Greedy Agent891,	exploration
10,	0,	0,	0.25
9,	0,	1,	0.25
9,	1,	0,	0.25
10,	0,	0,	0.25
10,	0,	0,	0.25
10,	0,	0,	0.25
10,	0,	0,	0.25
10,	0,	0,	0.25
10,	0,	0,	0.25
9,	0,	1,	0.25
8,	1,	1,	0.25
9,	1,	0,	0.25
10,	0,	0,	0.25
10,	0,	0,	0.25
10,	0,	0,	0.25
9,	0,	1,	0.25
9,	1,	0,	0.25
10,	0,	0,	0.25
10,	0,	0,	0.25
10,	0,	0,	0.25
10,	0,	0,	0.25
10,	0,	0,	0.25
10,	0,	0,	0.25
9,	0,	1,	0.25
10,	0,	0,	0.25
10,	0,	0,	0.25
10,	0,	0,	0.25
10,	0,	0,	0.25
10,	0,	0,	0.25
10,	0,	0,	0.25
10,	0,	0,	0.25
10,	0,	0,	0.25
9,	0,	1,	0.25
10,	0,	0,	0.25
10,	0,	0,	0.25
10,	0,	0,	0.25
9,	1,	0,	0.25
9,	0,	1,	0.25
8,	1,	1,	0.25
9,	1,	0,	0.25
10,	0,	0,	0.25
9,	1,	0,	0.25
9,	0,	1,	0.25
9,	1,	0,	0.25
9,	1,	0,	0.25
10,	0,	0,	0.25
8,	1,	1,	0.25
9,	0,	1,	0.25
10,	0,	0,	0.25
9,	1,	0,	0.25
10,	0,	0,	0.5
10,	0,	0,	0.5
10,	0,	0,	0.5
10,	0,	0,	0.5
10,	0,	0,	0.5
10,	0,	0,	0.5
8,	1,	1,	0.5
10,	0,	0,	0.5
9,	1,	0,	0.5
10,	0,	0,	0.5
10,	0,	0,	0.5
10,	0,	0,	0.5
9,	1,	0,	0.5
10,	0,	0,	0.5
9,	1,	0,	0.5
9,	1,	0,	0.5
10,	0,	0,	0.5
9,	0,	1,	0.5
10,	0,	0,	0.5
10,	0,	0,	0.5
10,	0,	0,	0.5
10,	0,	0,	0.5
10,	0,	0,	0.5
8,	1,	1,	0.5
10,	0,	0,	0.5
9,	1,	0,	0.5
10,	0,	0,	0.5
10,	0,	0,	0.5
10,	0,	0,	0.5
10,	0,	0,	0.5
10,	0,	0,	0.5
9,	1,	0,	0.5
10,	0,	0,	0.5
10,	0,	0,	0.5
10,	0,	0,	0.5
10,	0,	0,	0.5
10,	0,	0,	0.5
10,	0,	0,	0.5
10,	0,	0,	0.5
9,	1,	0,	0.5
10,	0,	0,	0.5
9,	0,	1,	0.5
9,	1,	0,	0.5
9,	0,	1,	0.5
10,	0,	0,	0.5
10,	0,	0,	0.5
9,	0,	1,	0.5
10,	0,	0,	0.5
9,	0,	1,	0.5
8,	1,	1,	0.5
10,	0,	0,	0.75
9,	1,	0,	0.75
10,	0,	0,	0.75
8,	1,	1,	0.75
10,	0,	0,	0.75
10,	0,	0,	0.75
10,	0,	0,	0.75
8,	2,	0,	0.75
8,	2,	0,	0.75
10,	0,	0,	0.75
10,	0,	0,	0.75
10,	0,	0,	0.75
9,	1,	0,	0.75
9,	0,	1,	0.75
7,	1,	2,	0.75
9,	0,	1,	0.75
7,	2,	1,	0.75
10,	0,	0,	0.75
10,	0,	0,	0.75
9,	1,	0,	0.75
10,	0,	0,	0.75
9,	1,	0,	0.75
10,	0,	0,	0.75
9,	0,	1,	0.75
10,	0,	0,	0.75
10,	0,	0,	0.75
10,	0,	0,	0.75
8,	0,	2,	0.75
9,	0,	1,	0.75
9,	1,	0,	0.75
10,	0,	0,	0.75
9,	0,	1,	0.75
10,	0,	0,	0.75
10,	0,	0,	0.75
10,	0,	0,	0.75
10,	0,	0,	0.75
9,	1,	0,	0.75
10,	0,	0,	0.75
10,	0,	0,	0.75
9,	1,	0,	0.75
10,	0,	0,	0.75
9,	1,	0,	0.75
10,	0,	0,	0.75
9,	0,	1,	0.75
10,	0,	0,	0.75
10,	0,	0,	0.75
10,	0,	0,	0.75
9,	1,	0,	0.75
7,	3,	0,	0.75
10,	0,	0,	0.75
10,	0,	0,	1.0
10,	0,	0,	1.0
10,	0,	0,	1.0
10,	0,	0,	1.0
9,	0,	1,	1.0
9,	0,	1,	1.0
9,	0,	1,	1.0
10,	0,	0,	1.0
9,	0,	1,	1.0
10,	0,	0,	1.0
9,	1,	0,	1.0
9,	1,	0,	1.0
10,	0,	0,	1.0
9,	0,	1,	1.0
9,	0,	1,	1.0
10,	0,	0,	1.0
9,	0,	1,	1.0
10,	0,	0,	1.0
9,	0,	1,	1.0
10,	0,	0,	1.0
10,	0,	0,	1.0
9,	0,	1,	1.0
8,	1,	1,	1.0
9,	0,	1,	1.0
10,	0,	0,	1.0
10,	0,	0,	1.0
7,	1,	2,	1.0
9,	1,	0,	1.0
10,	0,	0,	1.0
10,	0,	0,	1.0
9,	1,	0,	1.0
8,	1,	1,	1.0
9,	1,	0,	1.0
10,	0,	0,	1.0
8,	1,	1,	1.0
9,	1,	0,	1.0
10,	0,	0,	1.0
10,	0,	0,	1.0
10,	0,	0,	1.0
10,	0,	0,	1.0
9,	1,	0,	1.0
10,	0,	0,	1.0
10,	0,	0,	1.0
10,	0,	0,	1.0
10,	0,	0,	1.0
9,	1,	0,	1.0
10,	0,	0,	1.0
10,	0,	0,	1.0
10,	0,	0,	1.0
9,	1,	0,	1.0
10,	0,	0,	1.25
9,	1,	0,	1.25
9,	1,	0,	1.25
10,	0,	0,	1.25
10,	0,	0,	1.25
9,	1,	0,	1.25
10,	0,	0,	1.25
10,	0,	0,	1.25
9,	1,	0,	1.25
9,	0,	1,	1.25
10,	0,	0,	1.25
10,	0,	0,	1.25
10,	0,	0,	1.25
9,	0,	1,	1.25
9,	0,	1,	1.25
10,	0,	0,	1.25
10,	0,	0,	1.25
10,	0,	0,	1.25
9,	0,	1,	1.25
10,	0,	0,	1.25
9,	1,	0,	1.25
10,	0,	0,	1.25
9,	1,	0,	1.25
8,	1,	1,	1.25
10,	0,	0,	1.25
10,	0,	0,	1.25
10,	0,	0,	1.25
9,	1,	0,	1.25
10,	0,	0,	1.25
9,	1,	0,	1.25
10,	0,	0,	1.25
10,	0,	0,	1.25
10,	0,	0,	1.25
10,	0,	0,	1.25
9,	1,	0,	1.25
8,	1,	1,	1.25
10,	0,	0,	1.25
9,	1,	0,	1.25
10,	0,	0,	1.25
10,	0,	0,	1.25
9,	0,	1,	1.25
9,	1,	0,	1.25
10,	0,	0,	1.25
10,	0,	0,	1.25
10,	0,	0,	1.25
10,	0,	0,	1.25
9,	0,	1,	1.25
10,	0,	0,	1.25
9,	1,	0,	1.25
10,	0,	0,	1.25
10,	0,	0,	1.5
10,	0,	0,	1.5
10,	0,	0,	1.5
8,	1,	1,	1.5
9,	0,	1,	1.5
10,	0,	0,	1.5
10,	0,	0,	1.5
8,	1,	1,	1.5
8,	2,	0,	1.5
8,	0,	2,	1.5
10,	0,	0,	1.5
9,	1,	0,	1.5
8,	2,	0,	1.5
10,	0,	0,	1.5
9,	0,	1,	1.5
10,	0,	0,	1.5
10,	0,	0,	1.5
9,	0,	1,	1.5
9,	1,	0,	1.5
9,	1,	0,	1.5
10,	0,	0,	1.5
9,	1,	0,	1.5
9,	0,	1,	1.5
10,	0,	0,	1.5
9,	0,	1,	1.5
9,	0,	1,	1.5
9,	1,	0,	1.5
9,	0,	1,	1.5
8,	2,	0,	1.5
10,	0,	0,	1.5
10,	0,	0,	1.5
10,	0,	0,	1.5
10,	0,	0,	1.5
8,	1,	1,	1.5
10,	0,	0,	1.5
9,	1,	0,	1.5
7,	1,	2,	1.5
10,	0,	0,	1.5
10,	0,	0,	1.5
10,	0,	0,	1.5
9,	0,	1,	1.5
10,	0,	0,	1.5
10,	0,	0,	1.5
10,	0,	0,	1.5
9,	0,	1,	1.5
10,	0,	0,	1.5
10,	0,	0,	1.5
10,	0,	0,	1.5
10,	0,	0,	1.5
10,	0,	0,	1.5
10,	0,	0,	1.75
10,	0,	0,	1.75
10,	0,	0,	1.75
9,	0,	1,	1.75
9,	1,	0,	1.75
9,	1,	0,	1.75
10,	0,	0,	1.75
10,	0,	0,	1.75
10,	0,	0,	1.75
9,	0,	1,	1.75
10,	0,	0,	1.75
10,	0,	0,	1.75
10,	0,	0,	1.75
10,	0,	0,	1.75
10,	0,	0,	1.75
10,	0,	0,	1.75
10,	0,	0,	1.75
9,	0,	1,	1.75
9,	0,	1,	1.75
9,	0,	1,	1.75
9,	0,	1,	1.75
8,	1,	1,	1.75
9,	1,	0,	1.75
10,	0,	0,	1.75
10,	0,	0,	1.75
9,	1,	0,	1.75
9,	1,	0,	1.75
10,	0,	0,	1.75
9,	0,	1,	1.75
9,	0,	1,	1.75
10,	0,	0,	1.75
10,	0,	0,	1.75
10,	0,	0,	1.75
8,	1,	1,	1.75
10,	0,	0,	1.75
9,	1,	0,	1.75
7,	1,	2,	1.75
8,	2,	0,	1.75
9,	1,	0,	1.75
10,	0,	0,	1.75
9,	1,	0,	1.75
9,	0,	1,	1.75
8,	1,	1,	1.75
10,	0,	0,	1.75
9,	0,	1,	1.75
9,	1,	0,	1.75
10,	0,	0,	1.75
10,	0,	0,	1.75
8,	1,	1,	1.75
10,	0,	0,	1.75
9,	0,	1,	2.0
9,	0,	1,	2.0
10,	0,	0,	2.0
10,	0,	0,	2.0
9,	1,	0,	2.0
10,	0,	0,	2.0
9,	0,	1,	2.0
10,	0,	0,	2.0
10,	0,	0,	2.0
10,	0,	0,	2.0
9,	0,	1,	2.0
9,	0,	1,	2.0
9,	1,	0,	2.0
9,	1,	0,	2.0
9,	1,	0,	2.0
10,	0,	0,	2.0
10,	0,	0,	2.0
9,	1,	0,	2.0
9,	0,	1,	2.0
8,	0,	2,	2.0
8,	2,	0,	2.0
10,	0,	0,	2.0
10,	0,	0,	2.0
10,	0,	0,	2.0
10,	0,	0,	2.0
10,	0,	0,	2.0
10,	0,	0,	2.0
9,	0,	1,	2.0
9,	1,	0,	2.0
9,	0,	1,	2.0
10,	0,	0,	2.0
9,	1,	0,	2.0
8,	1,	1,	2.0
9,	0,	1,	2.0
10,	0,	0,	2.0
8,	0,	2,	2.0
9,	1,	0,	2.0
9,	1,	0,	2.0
8,	1,	1,	2.0
10,	0,	0,	2.0
10,	0,	0,	2.0
10,	0,	0,	2.0
8,	2,	0,	2.0
10,	0,	0,	2.0
10,	0,	0,	2.0
10,	0,	0,	2.0
10,	0,	0,	2.0
10,	0,	0,	2.0
10,	0,	0,	2.0
10,	0,	0,	2.0
8,	0,	2,	2.25
8,	2,	0,	2.25
10,	0,	0,	2.25
9,	1,	0,	2.25
9,	0,	1,	2.25
10,	0,	0,	2.25
9,	0,	1,	2.25
9,	0,	1,	2.25
10,	0,	0,	2.25
10,	0,	0,	2.25
10,	0,	0,	2.25
10,	0,	0,	2.25
10,	0,	0,	2.25
8,	1,	1,	2.25
9,	0,	1,	2.25
10,	0,	0,	2.25
10,	0,	0,	2.25
10,	0,	0,	2.25
9,	0,	1,	2.25
10,	0,	0,	2.25
10,	0,	0,	2.25
9,	1,	0,	2.25
10,	0,	0,	2.25
10,	0,	0,	2.25
10,	0,	0,	2.25
10,	0,	0,	2.25
10,	0,	0,	2.25
9,	0,	1,	2.25
10,	0,	0,	2.25
9,	1,	0,	2.25
9,	1,	0,	2.25
10,	0,	0,	2.25
10,	0,	0,	2.25
9,	0,	1,	2.25
10,	0,	0,	2.25
10,	0,	0,	2.25
10,	0,	0,	2.25
9,	0,	1,	2.25
9,	0,	1,	2.25
9,	0,	1,	2.25
10,	0,	0,	2.25
10,	0,	0,	2.25
9,	1,	0,	2.25
8,	1,	1,	2.25
10,	0,	0,	2.25
10,	0,	0,	2.25
8,	0,	2,	2.25
10,	0,	0,	2.25
10,	0,	0,	2.25
9,	1,	0,	2.25
