Number of simulations: 50
Number of games: 10
Number of rounds per game: 3
Conte Marlo Infoset,	RandomAgentc,	RandomAgentz,	exploration
6,	0,	4,	0.25
5,	3,	2,	0.25
8,	2,	0,	0.25
6,	3,	1,	0.25
3,	3,	4,	0.25
5,	2,	3,	0.25
2,	5,	3,	0.25
4,	3,	3,	0.25
6,	1,	3,	0.25
4,	3,	3,	0.25
3,	3,	4,	0.25
7,	1,	2,	0.25
6,	2,	2,	0.25
6,	3,	1,	0.25
6,	3,	1,	0.25
5,	4,	1,	0.25
5,	3,	2,	0.25
8,	0,	2,	0.25
4,	2,	4,	0.25
5,	2,	3,	0.25
6,	1,	3,	0.25
9,	0,	1,	0.25
4,	1,	5,	0.25
7,	1,	2,	0.25
8,	1,	1,	0.25
5,	3,	2,	0.25
5,	3,	2,	0.25
6,	1,	3,	0.25
5,	1,	4,	0.25
7,	3,	0,	0.25
5,	3,	2,	0.25
9,	1,	0,	0.25
6,	2,	2,	0.25
6,	4,	0,	0.25
5,	1,	4,	0.25
3,	3,	4,	0.25
6,	3,	1,	0.25
4,	5,	1,	0.25
7,	3,	0,	0.25
5,	4,	1,	0.25
9,	1,	0,	0.25
7,	2,	1,	0.25
4,	2,	4,	0.25
6,	0,	4,	0.25
4,	4,	2,	0.25
4,	5,	1,	0.25
6,	1,	3,	0.25
7,	0,	3,	0.25
5,	5,	0,	0.25
6,	0,	4,	0.25
8,	1,	1,	0.5
6,	1,	3,	0.5
5,	2,	3,	0.5
1,	5,	4,	0.5
5,	3,	2,	0.5
6,	1,	3,	0.5
5,	2,	3,	0.5
7,	1,	2,	0.5
3,	2,	5,	0.5
9,	0,	1,	0.5
5,	1,	4,	0.5
7,	0,	3,	0.5
5,	2,	3,	0.5
8,	0,	2,	0.5
5,	4,	1,	0.5
7,	3,	0,	0.5
4,	4,	2,	0.5
7,	2,	1,	0.5
7,	2,	1,	0.5
6,	1,	3,	0.5
5,	3,	2,	0.5
4,	3,	3,	0.5
6,	0,	4,	0.5
5,	2,	3,	0.5
6,	4,	0,	0.5
6,	1,	3,	0.5
6,	3,	1,	0.5
7,	1,	2,	0.5
6,	1,	3,	0.5
6,	1,	3,	0.5
8,	1,	1,	0.5
4,	3,	3,	0.5
5,	3,	2,	0.5
5,	3,	2,	0.5
6,	1,	3,	0.5
5,	1,	4,	0.5
7,	0,	3,	0.5
3,	6,	1,	0.5
4,	3,	3,	0.5
7,	0,	3,	0.5
7,	1,	2,	0.5
7,	2,	1,	0.5
4,	5,	1,	0.5
8,	2,	0,	0.5
8,	2,	0,	0.5
5,	4,	1,	0.5
7,	2,	1,	0.5
5,	2,	3,	0.5
4,	3,	3,	0.5
5,	3,	2,	0.5
4,	3,	3,	0.75
3,	4,	3,	0.75
3,	4,	3,	0.75
5,	1,	4,	0.75
3,	5,	2,	0.75
6,	3,	1,	0.75
4,	2,	4,	0.75
4,	3,	3,	0.75
5,	3,	2,	0.75
5,	2,	3,	0.75
6,	2,	2,	0.75
5,	2,	3,	0.75
6,	3,	1,	0.75
