MOISMCTS,Greedy Agent590,Greedy Agent805
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
8,1,1
8,1,1
9,1,0
10,0,0
10,0,0
8,2,0
10,0,0
9,0,1
9,1,0
10,0,0
9,0,1
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
8,2,0
10,0,0
9,1,0
10,0,0
10,0,0
9,1,0
9,1,0
7,0,3
9,0,1
9,1,0
10,0,0
9,1,0
10,0,0
9,1,0
9,0,1
10,0,0
9,1,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
9,0,1
10,0,0
10,0,0
10,0,0
8,1,1
10,0,0
10,0,0
10,0,0
8,1,1
9,1,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
9,0,1
9,0,1
5,3,2
10,0,0
10,0,0
7,1,2
10,0,0
10,0,0
10,0,0
8,0,2
10,0,0
10,0,0
6,4,0
9,0,1
10,0,0
9,0,1
10,0,0
10,0,0
10,0,0
7,2,1
9,1,0
10,0,0
8,1,1
9,1,0
10,0,0
9,0,1
9,0,1
9,0,1
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
9,1,0
10,0,0
10,0,0
