SOISMCTS,Greedy Agent916,Greedy Agent931
9,0,1
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
9,0,1
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
9,1,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
9,0,1
10,0,0
9,1,0
10,0,0
9,1,0
10,0,0
10,0,0
9,0,1
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
9,0,1
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
9,1,0
10,0,0
10,0,0
10,0,0
9,0,1
10,0,0
9,1,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
9,0,1
10,0,0
9,0,1
