Number of sims: 100
Number of games per sim: 10
Number of rounds per game: 5
Carlos,	RandomAgento,	RandomAgentc
7,	2,	1,	
6,	4,	0,	
7,	0,	3,	
6,	2,	2,	
8,	1,	1,	
6,	4,	0,	
6,	1,	3,	
5,	2,	3,	
7,	2,	1,	
3,	1,	6,	
6,	4,	0,	
3,	4,	3,	
7,	2,	1,	
3,	2,	5,	
7,	2,	1,	
6,	3,	1,	
7,	1,	2,	
6,	1,	3,	
5,	3,	2,	
5,	3,	2,	
5,	2,	3,	
5,	2,	3,	
3,	5,	2,	
5,	1,	4,	
4,	3,	3,	
7,	2,	1,	
6,	3,	1,	
5,	1,	4,	
5,	2,	3,	
8,	2,	0,	
6,	2,	2,	
6,	4,	0,	
6,	4,	0,	
5,	1,	4,	
8,	1,	1,	
8,	1,	1,	
3,	4,	3,	
7,	3,	0,	
5,	1,	4,	
5,	0,	5,	
6,	2,	2,	
6,	1,	3,	
3,	3,	4,	
4,	3,	3,	
3,	6,	1,	
5,	4,	1,	
5,	2,	3,	
4,	2,	4,	
7,	2,	1,	
9,	1,	0,	
5,	2,	3,	
6,	3,	1,	
9,	0,	1,	
7,	1,	2,	
6,	3,	1,	
6,	3,	1,	
9,	0,	1,	
3,	6,	1,	
5,	3,	2,	
6,	3,	1,	
5,	1,	4,	
6,	3,	1,	
6,	3,	1,	
5,	3,	2,	
7,	1,	2,	
4,	5,	1,	
6,	3,	1,	
5,	5,	0,	
4,	2,	4,	
4,	4,	2,	
5,	2,	3,	
4,	3,	3,	
7,	2,	1,	
7,	2,	1,	
5,	3,	2,	
5,	3,	2,	
9,	0,	1,	
4,	3,	3,	
5,	2,	3,	
7,	1,	2,	
4,	2,	4,	
5,	2,	3,	
7,	1,	2,	
6,	2,	2,	
6,	2,	2,	
5,	2,	3,	
5,	2,	3,	
8,	1,	1,	
5,	5,	0,	
4,	3,	3,	
6,	1,	3,	
7,	1,	2,	
7,	3,	0,	
4,	2,	4,	
8,	1,	1,	
6,	2,	2,	
6,	3,	1,	
5,	2,	3,	
5,	2,	3,	
5,	2,	3,
